index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
40	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.flake8"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.flake8"	file	false	8	deflated	8	a4648ddb	51	50	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	63208	75780b000104f5010000041400000055540500013f435e6a	
41	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.flake8"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.flake8"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	63416	75780b000104f5010000041400000055540500013f435e6a	
42	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/bfdd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/bfdd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	63670	75780b000104f5010000041400000055540500013f435e6a	
43	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._bfdd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._bfdd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	63809	75780b000104f5010000041400000055540500013f435e6a	
44	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.pylintrc"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.pylintrc"	file	false	8	deflated	8	3ce82f9c	165	189	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	64060	75780b000104f5010000041400000055540500013f435e6a	
45	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.pylintrc"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.pylintrc"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	64384	75780b000104f5010000041400000055540500013f435e6a	
46	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/ospfd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/ospfd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	64640	75780b000104f5010000041400000055540500013f435e6a	
47	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._ospfd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._ospfd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	64780	75780b000104f5010000041400000055540500013f435e6a	
48	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/pbrd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/pbrd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	65032	75780b000104f5010000041400000055540500013f435e6a	
49	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._pbrd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._pbrd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	65171	75780b000104f5010000041400000055540500013f435e6a	
50	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/configure.ac"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/configure.ac"	file	false	8	deflated	8	49356660	25475	91960	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	65422	75780b000104f5010000041400000055540500013f435e6a	
51	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._configure.ac"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._configure.ac"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2176057344	100664	91059	75780b000104f5010000041400000055540500013f435e6a	
52	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/tools/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/tools"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,16]	3	20	20	1107099648	040775	91318	75780b000104f50100000414000000555405000140435e6a	
53	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._tools"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._tools"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,16]	3	20	20	2180841472	100775	91458	75780b000104f50100000414000000555405000140435e6a	
54	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/gdb/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/gdb"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	91710	75780b000104f5010000041400000055540500013f435e6a	
55	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._gdb"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._gdb"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	91848	75780b000104f5010000041400000055540500013f435e6a	
56	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/eigrpd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/eigrpd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	92098	75780b000104f5010000041400000055540500013f435e6a	
57	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._eigrpd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._eigrpd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	92239	75780b000104f5010000041400000055540500013f435e6a	
58	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/docker/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/docker"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	92492	75780b000104f5010000041400000055540500013f435e6a	
59	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._docker"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._docker"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	92633	75780b000104f5010000041400000055540500013f435e6a	
60	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/version.h"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/version.h"	file	false	8	deflated	8	c68de416	135	173	[2026,7,20,23,48,16]	3	20	20	2176057344	100664	92886	75780b000104f50100000414000000555405000140435e6a	
61	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._version.h"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._version.h"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,16]	3	20	20	2176057344	100664	93180	75780b000104f50100000414000000555405000140435e6a	
62	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.DS_Store"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/.DS_Store"	file	false	8	deflated	8	d85a3820	1520	14340	[2026,7,22,18,48,38]	3	20	20	2175008768	100644	93436	75780b000104f50100000414000000555405000106a0606a	
63	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.DS_Store"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._.DS_Store"	file	false	8	deflated	8	38c0880b	53	120	[2026,7,22,18,48,38]	3	20	20	2175008768	100644	95115	75780b000104f50100000414000000555405000106a0606a	
64	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/ospfclient/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/ospfclient"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	95338	75780b000104f5010000041400000055540500013f435e6a	
65	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._ospfclient"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._ospfclient"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	95483	75780b000104f5010000041400000055540500013f435e6a	
